doc_label,doc_content
doyle-0-14,yet seemed throw kind light
doyle-0-15,remember returned london lot indian ocean pacific china seas regular dose east six years loafing hindering fellows work invading homes though got heavenly mission civilize
doyle-0-15,fine time bit get tired resting
doyle-0-15,began look ship think hardest work earth
doyle-0-15,ships would n't even look
doyle-0-15,got tired game
doyle-0-16,little chap passion maps
doyle-0-16,would look hours south america africa australia lose glories exploration
doyle-0-16,time many blank spaces earth saw one looked particularly inviting map look would put finger say 'when grow go
doyle-0-16,north pole one places remember
doyle-0-16,well n't yet shall try
doyle-0-16,glamour 's
doyle-0-16,places scattered hemispheres
doyle-0-16,well wo n't talk
doyle-0-16,one yet biggest blank speak hankering
doyle-0-17,true time blank space
doyle-0-17,got filled since boyhood rivers lakes names
doyle-0-17,ceased blank space delightful mystery white patch boy dream gloriously
doyle-0-17,become place darkness
doyle-0-17,one river especially mighty big river could see map resembling immense snake uncoiled head sea body rest curving afar vast country tail lost depths land
doyle-0-17,looked map shop window fascinated snake would bird silly little bird
doyle-0-17,remembered big concern company trade river
doyle-0-17,dash
doyle-0-17,thought ca n't trade without using kind craft lot fresh water steamboats
doyle-0-17,n't try get charge one
doyle-0-17,went along fleet street could shake idea
doyle-0-17,snake charmed
doyle-0-18,understand continental concern trading society lot relations living continent 's cheap nasty looks say
doyle-0-19,sorry began worry
doyle-0-19,already fresh departure
doyle-0-19,used get things way know
doyle-0-19,always went road legs mind go
doyle-0-19,would n't believed see felt somehow must get hook crook
doyle-0-19,worried
doyle-0-19,men 'my dear fellow nothing
doyle-0-19,would believe
doyle-0-19,tried women
doyle-0-19,charlie marlow set women work get job
doyle-0-19,heavens
doyle-0-19,well see notion drove
doyle-0-19,aunt dear enthusiastic soul
doyle-0-19,wrote 'it delightful
doyle-0-19,ready anything anything
doyle-0-19,glorious idea
doyle-0-19,know wife high personage administration also man lots influence etc
doyle-0-19,determined make end fuss get appointed skipper river steamboat fancy
doyle-0-20,got appointment course got quick
doyle-0-20,appears company received news one captains killed scuffle natives
doyle-0-20,chance made anxious go
doyle-0-20,months months afterwards made attempt recover left body heard original quarrel arose misunderstanding hens
doyle-0-20,yes two black hens
doyle-0-20,fresleven fellow 's name dane thought wronged somehow bargain went ashore started hammer chief village stick
doyle-0-20,oh n't surprise least hear time told fresleven gentlest quietest creature ever walked two legs
doyle-0-20,doubt couple years already engaged noble cause know probably felt need last asserting self respect way
doyle-0-20,therefore whacked old nigger mercilessly big crowd people watched thunderstruck till man told chief 's son desperation hearing old chap yell made tentative jab spear white man course went quite easy shoulder blades
doyle-0-20,whole population cleared forest expecting kinds calamities happen hand steamer fresleven commanded left also bad panic charge engineer believe
doyle-0-20,afterwards nobody seemed trouble much fresleven 's remains till got stepped shoes
doyle-0-20,could n't let rest though opportunity offered last meet predecessor grass growing ribs tall enough hide bones
doyle-0-20,supernatural touched fell
doyle-0-20,village deserted huts gaped black rotting askew within fallen enclosures
doyle-0-20,calamity come sure enough
doyle-0-20,people vanished
doyle-0-20,mad terror scattered men women children bush never returned
doyle-0-20,became hens n't know either
doyle-0-20,think cause progress got anyhow
doyle-0-20,however glorious affair got appointment fairly begun hope
doyle-0-21,flew around like mad get ready forty eight hours crossing channel show employers sign contract
doyle-0-21,hours arrived city always makes think whited sepulchre
doyle-0-21,prejudice doubt
doyle-0-21,difficulty finding company 's offices
doyle-0-21,biggest thing town everybody met full
doyle-0-21,going run sea empire make end coin trade
doyle-0-22,narrow deserted street deep shadow high houses innumerable windows venetian blinds dead silence grass sprouting stones imposing carriage archways right left immense double doors standing ponderously ajar
doyle-0-22,slipped one cracks went swept ungarnished staircase arid desert opened first door came
doyle-0-22,two women one fat slim sat straw bottomed chairs knitting black wool
doyle-0-22,slim one got walked straight still knitting downcast eyes began think getting way would somnambulist stood still looked
doyle-0-22,dress plain umbrella cover turned round without word preceded waiting room
doyle-0-22,gave name looked
doyle-0-22,deal table middle plain chairs round walls one end large shining map marked colours rainbow
doyle-0-22,vast amount red good see time one knows real work done deuce lot blue little green smears orange east coast purple patch show jolly pioneers progress drink jolly lager beer
doyle-0-22,however n't going
doyle-0-22,going yellow
doyle-0-22,dead centre
doyle-0-22,river fascinating deadly like snake
doyle-0-22,ough
doyle-0-22,door opened white haired secretarial head wearing compassionate expression appeared skinny forefinger beckoned sanctuary
