doc_label,doc_content
doyle-1-25,john much affection mother sisters antipathy
doyle-1-25,bullied punished two three times week twice continually every nerve feared every morsel flesh bones shrank came near
doyle-1-25,moments bewildered terror inspired appeal whatever either menaces inflictions servants offend young master taking part mrs reed blind deaf subject never saw strike heard abuse though presence frequently however behind back
doyle-1-26,habitually obedient john came chair spent three minutes thrusting tongue without damaging roots knew soon strike dreading blow mused disgusting ugly appearance presently deal
doyle-1-26,wonder read notion face without speaking struck suddenly strongly
doyle-1-26,tottered regaining equilibrium retired back step two chair
doyle-1-27,impudence answering mama awhile since sneaking way getting behind curtains look eyes two minutes since rat
doyle-1-28,accustomed john reed 's abuse never idea replying care endure blow certainly follow insult
doyle-1-29,behind curtain
doyle-1-29,asked
doyle-1-30,reading
doyle-1-31,show book
doyle-1-32,returned window fetched thence
doyle-1-33,business take books dependent mama says money father left none ought beg live gentlemen 's children us eat meals wear clothes mama 's expense
doyle-1-33,'ll teach rummage bookshelves mine house belongs years
doyle-1-33,go stand door way mirror windows
doyle-1-34,first aware intention saw lift poise book stand act hurl instinctively started aside cry alarm soon enough however volume flung hit fell striking head door cutting
doyle-1-34,cut bled pain sharp terror passed climax feelings succeeded
doyle-1-35,wicked cruel boy
doyle-1-35,murderer slave driver roman emperors
doyle-1-36,read goldsmith 's history rome formed opinion nero caligula etc
doyle-1-36,also drawn parallels silence never thought thus declared aloud
doyle-1-37,cried
doyle-1-37,say
doyle-1-37,hear eliza georgiana
doyle-1-37,wo n't tell mama
doyle-1-37,first
doyle-1-38,ran headlong felt grasp hair shoulder closed desperate thing
doyle-1-38,really saw tyrant murderer
doyle-1-38,felt drop two blood head trickle neck sensible somewhat pungent suffering sensations predominated fear received frantic sort
doyle-1-38,n't well know hands called rat
doyle-1-38,rat
doyle-1-38,bellowed aloud
doyle-1-38,aid near eliza georgiana run mrs reed gone upstairs came upon scene followed bessie maid abbot
doyle-1-38,parted heard words
doyle-1-39,dear
doyle-1-39,dear
doyle-1-39,fury fly master john
doyle-1-40,ever anybody picture passion
doyle-1-41,mrs reed subjoined
doyle-1-42,take away red room lock
doyle-1-42,four hands immediately laid upon borne upstairs
doyle-2-0,ii
doyle-2-1,resisted way new thing circumstance greatly strengthened bad opinion bessie miss abbot disposed entertain
doyle-2-1,fact trifle beside rather french say conscious moment 's mutiny already rendered liable strange penalties rebel slave felt resolved desperation go lengths
doyle-2-2,hold arms miss abbot 's mad cat
doyle-2-3,shame
doyle-2-3,shame
doyle-2-3,cried lady 's maid
doyle-2-3,shocking conduct miss eyre strike young gentleman benefactress 's son
doyle-2-3,young master
doyle-2-4,master
doyle-2-4,master
doyle-2-4,servant
doyle-2-5,less servant nothing keep
doyle-2-5,sit think wickedness
doyle-2-6,got apartment indicated mrs reed thrust upon stool impulse rise spring two pair hands arrested instantly
doyle-2-7,n't sit still must tied bessie
doyle-2-7,miss abbot lend garters break mine directly
doyle-2-8,miss abbot turned divest stout leg necessary ligature
doyle-2-8,preparation bonds additional ignominy inferred took little excitement
doyle-2-9,n't take cried stir
doyle-2-10,guarantee whereof attached seat hands
doyle-2-11,mind n't bessie ascertained really subsiding loosened hold miss abbot stood folded arms looking darkly doubtfully face incredulous sanity
doyle-2-12,never last bessie turning abigail
doyle-2-13,always reply
doyle-2-13,'ve told missis often opinion child missis agreed
doyle-2-13,'s underhand little thing never saw girl age much cover
doyle-2-14,bessie answered ere long addressing ought aware miss obligations mrs reed keeps turn go poorhouse
doyle-2-15,nothing say words new first recollections existence included hints kind
doyle-2-15,reproach dependence become vague sing song ear painful crushing half intelligible
doyle-2-15,miss abbot joined
doyle-2-16,ought think equality misses reed master reed missis kindly allows brought
doyle-2-16,great deal money none place humble try make agreeable
doyle-2-17,tell good added bessie harsh voice try useful pleasant perhaps home become passionate rude missis send away sure
doyle-2-18,besides miss abbot god punish might strike dead midst tantrums go
doyle-2-18,come bessie leave n't heart anything
doyle-2-18,say prayers miss eyre n't repent something bad might permitted come chimney fetch away
doyle-2-19,went shutting door locking behind
doyle-2-20,red room square chamber seldom slept might say never indeed unless chance influx visitors gateshead hall rendered necessary turn account accommodation contained largest stateliest chambers mansion
doyle-2-20,bed supported massive pillars mahogany hung curtains deep red damask stood tabernacle centre two large windows blinds always drawn half shrouded festoons falls similar drapery carpet red table foot bed covered crimson cloth walls soft fawn colour blush pink wardrobe toilet table chairs darkly polished old mahogany
doyle-2-20,deep surrounding shades rose high glared white piled mattresses pillows bed spread snowy marseilles counterpane
doyle-2-20,scarcely less prominent ample cushioned easy chair near head bed also white footstool looking thought pale throne
doyle-2-21,room chill seldom fire silent remote nursery kitchen solemn known seldom entered
doyle-2-21,house maid alone came saturdays wipe mirrors furniture week 's quiet dust mrs reed intervals visited review contents certain secret drawer wardrobe stored divers parchments jewel casket miniature deceased husband last words lies secret red room spell kept lonely spite grandeur
doyle-2-22,reed dead nine years chamber breathed last lay state hence coffin borne undertaker 's men since sense dreary consecration guarded frequent intrusion
doyle-2-23,seat bessie bitter miss abbot left riveted low ottoman near marble chimney piece bed rose right high dark wardrobe subdued broken reflections varying gloss panels left muffled windows great looking glass repeated vacant majesty bed room
doyle-2-23,quite sure whether locked door dared move got went
doyle-2-23,alas
doyle-2-23,yes jail ever secure
doyle-2-23,returning cross looking glass fascinated glance involuntarily explored depth revealed
doyle-2-23,looked colder darker visionary hollow reality strange little figure gazing white face arms specking gloom glittering eyes fear moving else still effect real spirit thought tiny phantoms half fairy half imp bessie 's evening stories represented coming lone ferny dells moors appearing eyes belated travellers
doyle-2-23,returned stool
doyle-2-24,superstition moment hour complete victory blood still warm mood revolted slave still bracing bitter vigour stem rapid rush retrospective thought quailed dismal present
doyle-2-25,john reed 's violent tyrannies sisters proud indifference mother 's aversion servants partiality turned disturbed mind dark deposit turbid well
doyle-2-25,always suffering always browbeaten always accused ever condemned
doyle-2-25,never please
doyle-2-25,useless try win 's favour
doyle-2-25,eliza headstrong selfish respected
doyle-2-25,georgiana spoiled temper acrid spite captious insolent carriage universally indulged
doyle-2-25,beauty pink cheeks golden curls seemed give delight looked purchase indemnity every fault
doyle-2-25,john thwarted much less punished though twisted necks pigeons killed little pea chicks set dogs sheep stripped hothouse vines fruit broke buds choicest plants conservatory called mother old girl sometimes reviled dark skin similar bluntly disregarded wishes unfrequently tore spoiled silk attire still darling
doyle-2-25,dared commit fault strove fulfil every duty termed naughty tiresome sullen sneaking morning noon noon night
doyle-2-26,head still ached bled blow fall received reproved john wantonly striking turned avert farther irrational violence loaded general opprobrium
doyle-2-27,unjust
doyle-2-27,unjust
doyle-2-27,reason forced agonising stimulus precocious though transitory power resolve equally wrought instigated strange expedient achieve escape insupportable oppression running away effected never eating drinking letting die
doyle-2-28,consternation soul mine dreary afternoon
doyle-2-28,brain tumult heart insurrection
doyle-2-28,darkness dense ignorance mental battle fought
doyle-2-28,answer ceaseless inward question thus suffered distance say many years clearly
doyle-2-29,discord gateshead hall nobody nothing harmony mrs reed children chosen vassalage
doyle-2-29,love fact little love
